seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
55	1573229628.974673358	-1.23622	-2.1067	-1.71871	-1.56712	0.604576	0.736296	0.0243788	0.024199	0.0252431	0.0239979	0.0244062	0.0251196	0.0211868	68.224	31.1871	2.26086	-0.591292	0.244172	0.0377743	0.0335547	0.0247747	0.03306	0.0357436	0.0379386	
56	1573229628.982675786	-1.23608	-2.10656	-1.71857	-1.56698	0.604715	0.736435	0.0243316	0.0242044	0.0250552	0.0239468	0.0243633	0.0250936	0.0125634	68.2017	31.191	2.26366	-0.595141	0.24274	0.0321188	0.042684	0.0171176	0.0249934	0.0312877	0.0381734	
57	1573229628.990698052	-1.23594	-2.10643	-1.71844	-1.56685	0.604857	0.736579	0.0242944	0.0241663	0.0248434	0.0238396	0.0243537	0.0250282	0.0274008	68.2461	31.2122	2.26164	-0.597519	0.238126	0.0339514	0.0281974	0.0193497	0.0217353	0.0389892	0.0259175	
58	1573229628.998698650	-1.2358	-2.10629	-1.7183	-1.56671	0.605005	0.736722	0.0242832	0.024108	0.024696	0.0237764	0.0244015	0.0249847	0.018487	68.2236	31.2106	2.26389	-0.591176	0.24443	0.037101	0.0322977	0.0258779	0.035227	0.0357394	0.0394242	
59	1573229629.006670374	-1.23566	-2.10615	-1.71817	-1.56657	0.605151	0.736865	0.0242756	0.0240642	0.0245329	0.0238092	0.0243943	0.0249443	0.0212661	68.2407	31.2254	2.2597	-0.594535	0.241639	0.0364223	0.0280514	0.0205307	0.0384643	0.0308603	0.02792	
60	1573229629.014695140	-1.23552	-2.10601	-1.71803	-1.56643	0.6053	0.737008	0.0243006	0.0240124	0.0244118	0.0237551	0.0244156	0.0248625	0.035388	68.2038	31.2108	2.26163	-0.594532	0.241143	0.0422016	0.0322988	0.0323889	0.0181249	0.0377058	0.0277042	
61	1573229629.022720435	-1.23538	-2.10587	-1.7179	-1.56629	0.605448	0.737151	0.0243017	0.0240146	0.0243118	0.0237115	0.024456	0.0247644	0.00318265	68.1994	31.2253	2.26675	-0.590382	0.243422	0.0325329	0.0373645	0.0267445	0.0354684	0.0349581	0.0237157	
62	1573229629.030677590	-1.23524	-2.10573	-1.71777	-1.56614	0.605598	0.737292	0.0242886	0.0240027	0.0241646	0.0237084	0.0244504	0.0246804	0.0241493	68.2256	31.2414	2.26266	-0.599359	0.240022	0.035222	0.0298117	0.0223223	0.0256693	0.027036	0.031538	
63	1573229629.038688066	-1.2351	-2.10559	-1.71763	-1.566	0.605745	0.737432	0.0242986	0.0240311	0.0240735	0.0235909	0.0244309	0.0246081	0.019086	68.1583	31.2174	2.2671	-0.595336	0.242156	0.0374324	0.0430582	0.0349783	0.0114836	0.0318816	0.0277485	
64	1573229629.046673881	-1.23496	-2.10544	-1.7175	-1.56586	0.605895	0.737571	0.0243247	0.024092	0.0240569	0.0234464	0.0244001	0.0245221	0.0191699	68.1745	31.2301	2.2637	-0.598459	0.241953	0.0374054	0.0373884	0.0349309	0.01727	0.0212876	0.0280205	
65	1573229629.054667398	-1.23481	-2.1053	-1.71736	-1.56572	0.606045	0.737712	0.0243579	0.024094	0.0239606	0.0233251	0.0243466	0.0244439	0.0317739	68.2139	31.2584	2.26191	-0.602509	0.238024	0.037101	0.0306322	0.0217921	0.0192203	0.0247368	0.0259124	
66	1573229629.062731505	-1.23466	-2.10515	-1.71722	-1.56558	0.606192	0.737854	0.0244225	0.0241055	0.0239392	0.0232809	0.0242482	0.0243798	0.0155861	68.1738	31.2437	2.26196	-0.594669	0.245571	0.0411421	0.0344786	0.0395509	0.0336672	0.0153961	0.0301606	
67	1573229629.070666195	-1.23451	-2.10501	-1.71708	-1.56544	0.606337	0.737995	0.0244652	0.024111	0.0239369	0.0233469	0.0241213	0.0243306	0.00474582	68.2108	31.2752	2.2653	-0.597261	0.243111	0.0327419	0.0299267	0.0272919	0.0409219	0.0160189	0.0297574	
68	1573229629.078691792	-1.23437	-2.10486	-1.71695	-1.5653	0.606482	0.738141	0.024465	0.0241093	0.023891	0.0233731	0.0239597	0.0243323	0.00528421	68.1915	31.2718	2.26674	-0.601777	0.242849	0.0319087	0.0319786	0.0336951	0.0275009	0.00823969	0.0364196	
69	1573229629.086705409	-1.23422	-2.10472	-1.71681	-1.56516	0.606626	0.738284	0.0244803	0.0240946	0.0238707	0.0233564	0.0238326	0.0243805	0.0132004	68.2114	31.2929	2.27176	-0.599456	0.242008	0.0324754	0.0296344	0.0273219	0.0282565	0.0234691	0.0427764	
70	1573229629.095022694	-1.23406	-2.10457	-1.71666	-1.56502	0.606768	0.738429	0.0244976	0.0240846	0.0237846	0.0233433	0.0237664	0.0244146	0.00965267	68.2093	31.3027	2.27081	-0.601137	0.239818	0.029872	0.0318258	0.0209738	0.0287217	0.0221939	0.0316511	
71	1573229629.102664638	-1.23391	-2.10442	-1.71652	-1.56487	0.606914	0.738573	0.0245565	0.0240841	0.0238047	0.0233438	0.02368	0.0243623	0.0187989	68.1793	31.2807	2.26442	-0.598015	0.243029	0.0410978	0.0265776	0.0481107	0.0270226	0.0138279	0.0230196	
72	1573229629.110684487	-1.23376	-2.10428	-1.71638	-1.56473	0.607059	0.738719	0.0246155	0.02407	0.0238756	0.0233548	0.0235416	0.0242872	0.00658941	68.1987	31.3055	2.26703	-0.602012	0.24073	0.0324122	0.02697	0.0346793	0.0308852	0.00994601	0.0228904	
73	1573229629.118747273	-1.23361	-2.10413	-1.71624	-1.56458	0.607202	0.738869	0.0246265	0.0240395	0.0238851	0.0233884	0.0233645	0.0242624	-0.000582843	68.2107	31.3206	2.27015	-0.603391	0.241066	0.0286421	0.0242362	0.0342977	0.0330437	0.00688323	0.0301301	
74	1573229629.126692406	-1.23345	-2.10398	-1.71609	-1.56444	0.607343	0.739014	0.0246267	0.0240077	0.0239561	0.0234566	0.023272	0.0242545	-0.0101068	68.2104	31.3311	2.28062	-0.594143	0.242993	0.0269812	0.0236633	0.0412911	0.0362614	0.028837	0.0313463	
75	1573229629.134694387	-1.2333	-2.10383	-1.71595	-1.56429	0.607484	0.739161	0.0246177	0.0239546	0.0240236	0.0234485	0.0232534	0.0242411	0.00846191	68.2253	31.3423	2.27807	-0.604387	0.236617	0.0267766	0.0186388	0.0380947	0.0152409	0.0257961	0.0262984	
76	1573229629.142701249	-1.23314	-2.10368	-1.7158	-1.56414	0.607623	0.739306	0.024593	0.0239237	0.0240866	0.0233926	0.0231938	0.0241779	-0.00965319	68.1921	31.3401	2.27908	-0.600951	0.239411	0.0242636	0.0281295	0.0371961	0.0245	0.0201329	0.021506	
77	1573229629.150669230	-1.23299	-2.10353	-1.71565	-1.56399	0.607763	0.739449	0.0245609	0.0239396	0.0243227	0.0233929	0.023097	0.0240771	-0.0333125	68.1473	31.3144	2.28374	-0.592593	0.24614	0.0257005	0.0258256	0.0757722	0.0246855	0.0148784	0.0191513	
78	1573229629.158673087	-1.23284	-2.10337	-1.7155	-1.56385	0.607905	0.739593	0.0245463	0.0239193	0.0244961	0.0233501	0.0230257	0.0239781	0.0217739	68.2293	31.3745	2.27482	-0.609115	0.233238	0.0286493	0.021057	0.021668	0.0161952	0.0234674	0.0205712	
79	1573229629.166661339	-1.23268	-2.10323	-1.71534	-1.5637	0.608051	0.739738	0.0245581	0.0238481	0.0245734	0.0233217	0.0230442	0.0239544	-0.00411495	68.2127	31.3714	2.28611	-0.59678	0.241194	0.027319	0.018568	0.0469744	0.0276014	0.0317693	0.0334443	
80	1573229629.174692261	-1.23253	-2.10308	-1.71519	-1.56355	0.608195	0.739883	0.0245709	0.0237831	0.0246021	0.0233735	0.0231005	0.0239668	0.0151406	68.2471	31.406	2.28134	-0.603306	0.235624	0.0272979	0.0196135	0.0156768	0.0317596	0.0340156	0.0299328	
81	1573229629.182686054	-1.23237	-2.10293	-1.71503	-1.5634	0.608345	0.740031	0.0245663	0.0236862	0.0245551	0.0234141	0.0231645	0.0239805	0.00939418	68.2428	31.4068	2.28261	-0.606192	0.235292	0.0250637	0.0160278	0.026709	0.0241343	0.0267994	0.0294705	
82	1573229629.190728521	-1.23221	-2.10279	-1.71488	-1.56325	0.608493	0.740176	0.0245582	0.0236546	0.0244462	0.0233889	0.0231993	0.0239447	0.0149929	68.2226	31.4182	2.28168	-0.610941	0.231028	0.0223406	0.0299675	0.00234857	0.0173163	0.0286709	0.0213184	
83	1573229629.198707445	-1.23206	-2.10264	-1.71473	-1.5631	0.608642	0.740322	0.0244891	0.0236993	0.0243058	0.0233603	0.0231807	0.0238579	-0.017001	68.1933	31.4096	2.2844	-0.608658	0.234795	0.0160086	0.0319697	0.0191965	0.0230405	0.0142755	0.0162432	
84	1573229629.206674189	-1.2319	-2.10249	-1.71458	-1.56295	0.608789	0.740469	0.0244146	0.0237148	0.0241346	0.0233112	0.0231006	0.0237783	0.0117734	68.2439	31.4436	2.28032	-0.619387	0.227752	0.017005	0.023937	-0.00123654	0.0141052	0.0150423	0.0193667	
85	1573229629.214689655	-1.23175	-2.10233	-1.71443	-1.5628	0.608935	0.740618	0.0243942	0.0237286	0.0240472	0.0232648	0.0230071	0.023729	0.00435062	68.1944	31.4174	2.28074	-0.610001	0.235396	0.0256822	0.024639	0.0299637	0.018994	0.0111252	0.0213014	
86	1573229629.222694502	-1.23159	-2.10218	-1.71428	-1.56265	0.609083	0.740765	0.0243458	0.0237101	0.0239456	0.0231869	0.0229458	0.0237142	0.00387301	68.2498	31.4646	2.28826	-0.61889	0.228244	0.0128842	0.021391	0.00292606	0.0114227	0.0197486	0.0285986	
87	1573229629.230681463	-1.23143	-2.10203	-1.71413	-1.5625	0.60923	0.740912	0.0243163	0.0237385	0.0239183	0.0231571	0.022912	0.023686	-0.0106615	68.1606	31.4206	2.28655	-0.601012	0.23966	0.0263386	0.0307667	0.0388809	0.0278442	0.0185955	0.0185766	
88	1573229629.238693175	-1.23128	-2.10187	-1.71398	-1.56235	0.609378	0.741059	0.024276	0.0237811	0.0239222	0.0232309	0.0228965	0.0236001	-0.0187548	68.2205	31.4672	2.28942	-0.606915	0.233817	0.0146041	0.0243897	0.0147491	0.0350477	0.0215509	0.0135666	
89	1573229629.246711448	-1.23113	-2.10172	-1.71383	-1.5622	0.609531	0.741206	0.0241863	0.0237638	0.0238191	0.0233571	0.0229003	0.0234942	-0.0151229	68.249	31.487	2.28817	-0.609933	0.232409	0.0139813	0.0162907	0.0130802	0.0383018	0.0178692	0.0147022	
90	1573229629.254750591	-1.23097	-2.10156	-1.71368	-1.56205	0.609677	0.741352	0.0241152	0.023772	0.0237325	0.0234874	0.0228304	0.0234492	-0.020173	68.2063	31.4769	2.28944	-0.60742	0.237104	0.0170035	0.025386	0.0189242	0.0398397	0.0107013	0.0262663	
91	1573229629.262664062	-1.23082	-2.1014	-1.71353	-1.56189	0.609826	0.741501	0.0240495	0.0237689	0.0236928	0.0235531	0.0227348	0.0234559	-0.0104039	68.2301	31.491	2.29081	-0.616571	0.231259	0.0134682	0.0163901	0.0222835	0.0185439	0.00972292	0.023689	
92	1573229629.270677986	-1.23066	-2.10125	-1.71338	-1.56174	0.609973	0.741648	0.0239732	0.0237137	0.0236182	0.0235344	0.0226962	0.0234052	0.00376953	68.2497	31.5111	2.2899	-0.616449	0.22777	0.0158005	0.0138871	0.0117371	0.0193155	0.0217432	0.0141075	
93	1573229629.279830361	-1.23051	-2.1011	-1.71324	-1.56158	0.61012	0.741796	0.023903	0.0236499	0.0235622	0.0234743	0.0226136	0.0233163	-0.006856	68.2179	31.4998	2.28888	-0.621407	0.228343	0.0132428	0.0168354	0.0235872	0.00905813	0.00369681	0.0130755	
94	1573229629.286686351	-1.23035	-2.10094	-1.71309	-1.56143	0.610268	0.74194	0.0238017	0.0235657	0.0235059	0.0234257	0.0225954	0.0232037	-0.00971561	68.2777	31.5436	2.29802	-0.615483	0.226167	0.00803273	0.00712788	0.0117353	0.022086	0.0305874	0.0122275	
95	1573229629.294670992	-1.2302	-2.10079	-1.71294	-1.56128	0.610416	0.742089	0.0236672	0.0235043	0.0233943	0.0234404	0.0225818	0.0231444	-0.0186309	68.2401	31.5377	2.29367	-0.619409	0.229022	0.00772989	0.0172641	0.00836946	0.0263043	0.00724354	0.0188921	
96	1573229629.302688084	-1.23005	-2.10063	-1.71279	-1.56112	0.610567	0.742237	0.0235869	0.0234524	0.0232149	0.0234386	0.02248	0.0231009	0.0195553	68.2583	31.549	2.28497	-0.626328	0.224604	0.0180629	0.010967	0.00177905	0.01626	0.00634897	0.016675	
97	1573229629.310711305	-1.2299	-2.10048	-1.71265	-1.56097	0.610718	0.742383	0.0235079	0.0233776	0.0230937	0.0234058	0.0224641	0.0230459	-0.00863799	68.2476	31.553	2.30005	-0.617013	0.227519	0.0101866	0.0102276	0.0195159	0.015342	0.0242388	0.0180757	
98	1573229629.318683812	-1.22975	-2.10032	-1.71251	-1.56082	0.610868	0.742532	0.0233895	0.0232906	0.0229613	0.0233274	0.02247	0.0230537	0.00703656	68.2758	31.5806	2.29678	-0.628443	0.22283	0.00798621	0.00925413	-0.00210023	0.00911313	0.0146343	0.02782	
99	1573229629.326737425	-1.2296	-2.10017	-1.71236	-1.56066	0.611019	0.742678	0.023291	0.023169	0.0228505	0.0232671	0.0224508	0.0230636	-0.00330481	68.2577	31.5706	2.298	-0.620357	0.227142	0.0119627	0.0043734	0.0221971	0.0163818	0.0160926	0.0203852	
100	1573229629.334677318	-1.22945	-2.10002	-1.71222	-1.56051	0.611168	0.742825	0.0232152	0.0231087	0.0228355	0.0232278	0.022391	0.0229412	-0.0142688	68.1881	31.5494	2.29359	-0.619305	0.227685	0.0126788	0.0214474	0.022093	0.014437	0.00650059	-0.00154362	
101	1573229629.342682830	-1.2293	-2.09987	-1.71207	-1.56036	0.611321	0.742974	0.0231217	0.0230835	0.0228684	0.0231436	0.0223385	0.0228695	-0.018199	68.2119	31.5665	2.30451	-0.619297	0.22946	0.00896006	0.0126016	0.03337	0.00731108	0.0129014	0.024463	
102	1573229629.350660942	-1.22915	-2.09971	-1.71193	-1.56021	0.61147	0.743123	0.0229945	0.0230319	0.0228246	0.0230743	0.0222729	0.0228219	-0.0139102	68.2365	31.5952	2.29812	-0.625234	0.224186	0.00555904	0.0141406	0.00670607	0.0163303	0.00784625	0.00844785	
103	1573229629.358688483	-1.22901	-2.09956	-1.71178	-1.56005	0.611619	0.743272	0.0228463	0.0229919	0.0227988	0.0230268	0.0222148	0.022915	-0.0299219	68.2191	31.5935	2.31473	-0.618597	0.233161	0.00389066	0.0131409	0.0312956	0.0122607	0.0128558	0.054148	
104	1573229629.366698001	-1.22886	-2.0994	-1.71163	-1.5599	0.611768	0.743424	0.0227458	0.0229623	0.0228113	0.0229519	0.0221888	0.0230538	0.00662346	68.2225	31.6014	2.3002	-0.622465	0.226105	0.0152219	0.0131714	0.0150572	0.0100903	0.0167307	0.0205883	
105	1573229629.374686748	-1.22871	-2.09925	-1.71149	-1.55976	0.61192	0.743574	0.0226822	0.0229176	0.022924	0.0228982	0.0221912	0.0230212	-0.0310561	68.1796	31.5801	2.30789	-0.609402	0.234069	0.0131499	0.0120613	0.0524597	0.0201866	0.0168075	0.0135238	
106	1573229629.382710335	-1.22857	-2.09909	-1.71134	-1.55961	0.612071	0.743726	0.0225998	0.0229039	0.0230232	0.0228987	0.0223223	0.0229793	-0.0119928	68.2141	31.6243	2.3144	-0.609383	0.228388	0.010708	0.0182952	0.014348	0.0206325	0.0463898	0.0172719	
107	1573229629.390711494	-1.22842	-2.09894	-1.71118	-1.55945	0.612226	0.743877	0.0225225	0.0228603	0.0230338	0.0229043	0.0224118	0.0230983	-0.0129196	68.2254	31.6282	2.30911	-0.62105	0.232487	0.0112151	0.00882325	0.0266101	0.0203397	0.0058221	0.0514296	
108	1573229629.398709390	-1.22828	-2.09879	-1.71103	-1.5593	0.61238	0.744033	0.0224495	0.0227517	0.0231069	0.022939	0.0223441	0.0232262	-0.0147227	68.2317	31.6353	2.30318	-0.620211	0.2285	0.0113662	0.00439896	0.0274982	0.0254393	0.00746267	0.0160626	
109	1573229629.406717916	-1.22813	-2.09864	-1.71087	-1.55915	0.612533	0.74419	0.0224038	0.0226577	0.0231237	0.0229651	0.0222684	0.0232093	0.00633405	68.223	31.6424	2.2985	-0.623563	0.226379	0.017344	0.00911656	0.015574	0.020947	0.00745916	0.0151883	
110	1573229629.414710187	-1.22798	-2.09849	-1.71072	-1.559	0.612684	0.744343	0.0223684	0.022575	0.0231047	0.0230951	0.0223531	0.0231746	-0.016191	68.2435	31.669	2.31401	-0.603887	0.231352	0.0139886	0.00689835	0.0177395	0.0476335	0.0451126	0.0155326	
111	1573229629.422683956	-1.22783	-2.09834	-1.71057	-1.55884	0.612841	0.744499	0.022318	0.0225034	0.0231297	0.0232238	0.0224794	0.0231557	-0.0139562	68.2175	31.6577	2.30803	-0.620074	0.227276	0.0105212	0.00821066	0.0248923	0.0202847	0.0141661	0.0140652	
112	1573229629.430718039	-1.22769	-2.09819	-1.71041	-1.55869	0.612996	0.744654	0.0222198	0.0224707	0.0231018	0.0231918	0.0224423	0.0230349	-0.012913	68.1985	31.6644	2.30315	-0.629155	0.221147	0.00563747	0.0183475	0.00643336	0.00948392	0.00463552	-0.00534564	
113	1573229629.438711789	-1.22754	-2.09803	-1.71025	-1.55853	0.613152	0.744807	0.0221145	0.022433	0.0230832	0.0231394	0.0223047	0.022936	-0.0167368	68.2182	31.6733	2.30599	-0.630293	0.225283	0.0062894	0.0065134	0.0238633	0.0122257	-0.00674332	0.0188271	
114	1573229629.446678775	-1.2274	-2.09789	-1.7101	-1.55838	0.613304	0.74496	0.0220476	0.02234	0.0232123	0.0230633	0.0223292	0.0230564	-0.0120281	68.2006	31.6732	2.32802	-0.609844	0.232763	0.0136579	0.00661851	0.0477234	0.00780675	0.0429858	0.0467457	
115	1573229629.454780680	-1.22725	-2.09774	-1.70995	-1.55822	0.613459	0.745112	0.0219637	0.0222393	0.023318	0.0230212	0.022438	0.0231122	-0.0198192	68.2408	31.7064	2.31215	-0.625106	0.223151	0.00338921	0.00379076	0.0159513	0.0200796	0.0135779	0.00792497	
