seq	time	fx	fy	fz	tx	ty	tz	
182	1580406962.270716697	-29.6021	50.2088	-16.0712	-1.1747	-1.11681	-0.707677	
183	1580406962.278772467	17.4805	35.9209	-31.391	-1.17463	-0.648014	-4.4741	
184	1580406962.286779816	-31.7453	49.0819	-17.2742	-1.17488	-2.56785	0.159012	
185	1580406962.294681711	18.5749	35.6265	-31.7052	-1.17432	0.525173	-2.59594	
186	1580406962.302696914	18.5771	35.6276	-31.7053	-1.1748	-0.967224	-5.21356	
187	1580406962.310706093	18.5782	35.6295	-31.7049	-1.17548	-1.40331	-5.97864	
188	1580406962.318715456	18.5776	35.63	-31.7069	-1.17572	-1.40375	-5.97865	
189	1580406962.326710541	26.9467	40.0289	-27.0093	-1.17583	4.26104	-9.36843	
190	1580406962.334702428	22.8691	12.971	-15.1168	-1.17599	2.7856	-5.40707	
191	1580406962.342704811	27.0955	0.783358	-4.54953	-1.17646	6.38664	-5.78131	
192	1580406962.350806055	27.094	0.783438	-4.55029	-1.17616	6.38623	-5.7812	
193	1580406962.358760412	27.1004	0.782594	-4.55379	-1.17695	6.3866	-5.78127	
194	1580406962.366717557	27.1012	0.782559	-4.55351	-1.17675	6.38683	-5.78136	
195	1580406962.374747918	27.1043	0.77895	-4.5531	-1.17621	6.38715	-5.78089	
196	1580406962.382759786	27.1013	0.779704	-4.55306	-1.17623	6.38684	-5.78044	
197	1580406962.390683277	27.0992	0.783111	-4.55598	-1.17603	6.38582	-5.781	
198	1580406962.398708817	27.0979	0.785171	-4.55578	-1.17602	6.38525	-5.78099	
199	1580406962.406815115	27.0959	0.785011	-4.55473	-1.17636	6.38469	-5.78072	
200	1580406962.414686649	27.039	40.0726	-26.9635	-1.17585	4.31864	-9.40303	
201	1580406962.422733194	27.035	40.0782	-26.9635	-1.17644	4.31817	-9.40394	
202	1580406962.430724508	-0.15239	31.4724	-10.0998	-1.17635	3.13897	-7.05104	
203	1580406962.438806278	27.0344	40.0133	-26.9248	-1.17677	4.32171	-9.3981	
204	1580406962.446668156	2.04737	7.48645	2.63035	-1.17664	7.09327	-0.471075	
205	1580406962.454684860	-23.2356	14.2444	9.88188	-1.17677	2.75819	-3.96294	
206	1580406962.462718140	27.0408	33.6747	-23.3099	-1.17657	4.65512	-8.81348	
207	1580406962.470818280	27.0332	40.0809	-26.9662	-1.17586	4.31841	-9.40457	
208	1580406962.478725253	-23.2889	53.5321	-12.5339	-1.17591	0.592608	-7.75978	
209	1580406962.486677280	-23.2864	53.5339	-12.5347	-1.17572	0.592672	-7.76016	
210	1580406962.494710065	-23.2867	53.5364	-12.5359	-1.17592	0.592274	-7.76089	
211	1580406962.502796023	-23.2739	44.7624	-7.53335	-1.17592	1.0536	-6.9524	
212	1580406962.510701725	-23.2878	53.5329	-12.5357	-1.17553	0.591947	-7.76113	
213	1580406962.518747783	-23.2867	53.5341	-12.5366	-1.17598	0.591659	-7.76131	
214	1580406962.526738573	-23.2861	53.5334	-12.5362	-1.17651	0.591717	-7.76145	
215	1580406962.534760681	-23.287	53.5308	-12.5339	-1.17663	0.59208	-7.76093	
216	1580406962.542753896	-23.2295	14.2427	9.87462	-1.17613	2.65843	-4.13847	
217	1580406962.550747317	-23.2326	14.2393	9.87636	-1.17585	2.65806	-4.13782	
218	1580406962.558680885	-23.2332	14.2409	9.87694	-1.17606	2.65813	-4.13809	
219	1580406962.566721514	-23.2452	24.0949	4.25297	-1.17647	2.13993	-5.04668	
220	1580406962.574704198	-23.2316	14.2438	9.87263	-1.17667	2.65811	-4.1383	
221	1580406962.582712104	-23.2331	14.2452	9.87401	-1.17697	3.60069	-2.48594	
222	1580406962.590689519	-23.2358	14.2491	9.87263	-1.17767	5.22046	0.354151	
223	1580406962.598699719	-23.2294	8.52608	13.1382	3.34389	5.52578	0.879262	
224	1580406962.606687612	-31.6868	4.0808	8.39728	3.34376	-0.196576	4.30473	
225	1580406962.614706059	-31.683	4.08018	8.39531	3.34358	-0.196324	4.30423	
226	1580406962.622706635	-31.6854	4.082	8.39528	3.34348	-0.196677	4.30377	
227	1580406962.630705429	-31.6856	4.0828	8.39447	3.34393	-0.196751	4.30394	
228	1580406962.638709731	18.6282	-3.64332	-9.30477	-1.17811	3.22349	2.13484	
229	1580406962.646781802	-31.6887	6.0437	7.27741	1.79745	-0.300627	4.12432	
230	1580406962.654678124	2.71387	0.613817	-4.74051	-1.17822	2.04606	2.65474	
231	1580406962.662761377	18.6368	-9.36387	-6.04121	3.34383	3.53011	2.65952	
232	1580406962.670742110	18.5801	29.9263	-28.4525	3.3439	1.46335	-0.962868	
233	1580406962.678670490	18.5729	35.652	-31.7168	-1.17788	1.15796	-1.48843	
234	1580406962.686718655	18.5715	35.6519	-31.7158	-1.1778	1.15792	-1.48834	
