seq	time	fx	fy	fz	tx	ty	tz	
221	1580406962.254695266	-2.37735	22.8645	-9.42216	1.10643	2.12528	-2.63232	
222	1580406962.262675362	-2.28116	21.9157	-9.02375	1.10643	2.13396	-2.47199	
223	1580406962.270716697	-1.67268	21.3416	-9.44303	1.13216	2.11504	-2.43021	
224	1580406962.278772467	-2.33927	21.9637	-9.39593	1.10642	1.97891	-2.57833	
225	1580406962.286779816	-2.43613	21.9875	-9.53105	1.02925	1.87079	-2.72547	
226	1580406962.294681711	-2.589	22.0215	-8.69619	1.20934	2.22072	-2.5994	
227	1580406962.302696914	-1.82052	22.3833	-9.49857	0.977779	2.1494	-2.66281	
228	1580406962.310706093	-2.04607	22.3279	-9.52361	0.926335	2.03786	-2.65247	
229	1580406962.318715456	-2.44183	22.2799	-9.64198	1.02925	1.9704	-2.55875	
230	1580406962.326710541	-2.80068	21.8268	-8.80249	1.05496	2.12729	-2.53374	
231	1580406962.334702428	-1.64342	21.9941	-9.61303	1.05497	2.03719	-2.65426	
232	1580406962.342704811	-1.32723	21.6622	-9.13914	0.977786	2.26043	-2.5267	
233	1580406962.350806055	-2.66043	22.0913	-9.43523	1.15788	1.96754	-2.52872	
234	1580406962.358760412	-0.8436	21.7674	-10.3177	0.9006	2.12601	-2.55028	
235	1580406962.366717557	-2.14423	22.2648	-9.02106	1.13217	2.13198	-2.5883	
236	1580406962.374747918	-1.56905	21.1116	-9.24729	1.20933	2.13121	-2.43645	
237	1580406962.382759786	-3.0104	22.3598	-9.16668	1.0807	2.00618	-2.44754	
238	1580406962.390683277	-2.83506	23.1091	-9.67149	1.13216	1.84632	-2.70829	
239	1580406962.398708817	-2.60399	22.5579	-9.23919	1.08071	1.92922	-2.53979	
240	1580406962.406815115	-2.78826	21.809	-9.21027	1.00352	1.91321	-2.45994	
241	1580406962.414686649	-2.72804	21.5463	-8.78118	1.20933	2.11604	-2.50036	
242	1580406962.422733194	-3.29739	23.3933	-9.31743	0.952068	1.93584	-2.76679	
243	1580406962.430724508	-2.6787	22.0596	-9.15296	1.10642	2.09513	-2.58379	
244	1580406962.438806278	-2.12317	21.845	-9.36764	0.977775	2.02746	-2.53674	
245	1580406962.446668156	-2.69205	22.5038	-9.24309	1.10643	2.13454	-2.53813	
246	1580406962.454684860	-2.8166	22.2829	-9.16121	1.05498	2.043	-2.51816	
247	1580406962.462718140	-2.09165	22.5649	-9.68901	1.13215	2.0098	-2.63838	
248	1580406962.470818280	-1.99001	22.1709	-9.41874	1.26081	2.14855	-2.66698	
249	1580406962.478725253	-2.463	21.6138	-9.25762	1.08071	2.1309	-2.36913	
250	1580406962.486677280	-1.67332	22.507	-9.46953	1.13217	2.08444	-2.63564	
251	1580406962.494710065	-2.36886	22.6478	-9.67349	1.02925	1.95494	-2.72797	
252	1580406962.502796023	-2.21935	20.9948	-9.07235	1.0807	2.11177	-2.57638	
253	1580406962.510701725	-2.67828	22.3977	-9.33692	1.18362	1.95045	-2.59908	
254	1580406962.518747783	-2.04414	22.1569	-9.73997	0.977783	1.96829	-2.57968	
255	1580406962.526738573	-2.14947	21.7408	-9.2489	0.952062	2.06497	-2.57068	
256	1580406962.534760681	-2.5793	21.672	-8.54314	1.05497	2.16886	-2.44409	
257	1580406962.542753896	-1.74425	22.4153	-9.97228	1.20934	2.06769	-2.5586	
258	1580406962.550747317	-3.154	21.374	-8.64697	1.15789	1.98211	-2.40097	
259	1580406962.558680885	-2.44128	22.3008	-9.33793	1.02925	2.06058	-2.5961	
260	1580406962.566721514	-1.86204	22.1735	-10.004	0.977791	2.08179	-2.57451	
261	1580406962.574704198	-2.3815	22.8358	-9.61367	1.02924	2.04501	-2.59411	
262	1580406962.582712104	-2.69677	22.0828	-9.20098	1.0035	2.07565	-2.46339	
263	1580406962.590689519	-3.03889	23.0005	-9.42074	0.900615	1.9721	-2.61443	
264	1580406962.598699719	-2.74783	22.4121	-9.52125	0.952044	1.89683	-2.55108	
265	1580406962.606687612	-2.31742	21.6176	-8.88536	1.05495	2.17116	-2.34444	
266	1580406962.614706059	-1.30293	21.9927	-9.66784	1.02925	2.1407	-2.68778	
267	1580406962.622706635	-2.99011	22.5569	-9.2927	1.05496	1.96045	-2.67411	
268	1580406962.630705429	-2.40993	22.3154	-9.5129	1.20933	2.04308	-2.51103	
269	1580406962.638709731	-2.21448	22.7962	-9.54937	1.08069	2.07149	-2.54503	
270	1580406962.646781802	-2.53506	22.5338	-9.12575	0.874889	2.24376	-2.59703	
271	1580406962.654678124	-2.23603	22.3966	-9.31985	1.26079	2.14436	-2.50926	
272	1580406962.662761377	-2.03889	22.6348	-9.86315	1.0807	2.01972	-2.65978	
273	1580406962.670742110	-2.81535	22.2317	-9.39235	1.10643	1.93519	-2.521	
274	1580406962.678670490	-2.10826	22.0057	-9.10396	1.15788	2.16548	-2.64472	
275	1580406962.686718655	-2.72188	22.1524	-8.91161	1.10643	2.06325	-2.53294	
276	1580406962.694747682	-2.50272	22.2018	-9.30136	1.02925	1.98722	-2.51466	
277	1580406962.702722356	-2.59435	23.4507	-9.97912	1.0807	2.00228	-2.6171	
278	1580406962.710724485	-2.00642	21.8843	-9.60537	0.977789	2.04195	-2.50396	
279	1580406962.718728469	-2.10937	21.8765	-9.29486	1.13216	2.1592	-2.46841	
280	1580406962.726739626	-2.61178	22.1419	-9.27829	1.0035	2.06943	-2.58323	
281	1580406962.734732535	-2.64802	22.0754	-9.33036	1.08069	2.00365	-2.62788	
282	1580406962.742745160	-2.32077	22.1234	-9.43885	1.00352	1.9598	-2.52751	
283	1580406962.750676023	-3.24074	22.3646	-9.49988	0.84916	1.87007	-2.53025	
284	1580406962.758786842	-2.43831	22.1997	-9.3382	1.08071	2.04861	-2.60838	
285	1580406962.766746253	-2.54722	21.7945	-9.0456	1.15789	1.99798	-2.44127	
286	1580406962.774756588	-2.22451	22.2387	-9.13918	0.952075	2.17496	-2.6166	
287	1580406962.782681681	-2.91615	22.669	-9.49585	0.694786	1.97728	-2.59076	
288	1580406962.790796976	-2.67885	21.7438	-8.95972	1.15788	2.00942	-2.49563	
289	1580406962.798720581	-1.81324	22.3673	-9.60244	1.00352	2.12846	-2.68327	
290	1580406962.806731403	-2.47643	21.9233	-9.26349	1.05497	2.01864	-2.59038	
291	1580406962.814682661	-1.47417	21.4655	-9.07907	1.31224	2.32207	-2.56912	
292	1580406962.822684573	-1.38111	21.393	-9.38892	1.13216	2.154	-2.5398	
293	1580406962.830698094	-2.67294	22.3143	-9.65856	1.00351	1.89578	-2.49167	
294	1580406962.838742508	-2.36577	22.5067	-9.64503	1.1836	2.03151	-2.58611	
295	1580406962.846696994	-3.2589	22.3915	-8.97225	1.15788	1.90573	-2.69616	
296	1580406962.854735290	-2.0575	22.1188	-9.55136	0.952054	1.98426	-2.57538	
297	1580406962.862687909	-2.04666	22.6641	-9.7113	1.0035	2.0082	-2.70486	
298	1580406962.870751092	-2.22749	22.3093	-9.6981	1.05497	1.98679	-2.57364	
299	1580406962.878741197	-1.92613	21.9258	-9.82554	1.05498	1.97241	-2.56532	
300	1580406962.886781797	-3.38324	22.2779	-8.95525	0.952064	1.90603	-2.51413	
